Library ID,Game ID,Name (English),Name (Japanese),Codes,Damage,Element,Rarity,MB,Category,Version
1,1,Cannon,キャノン,ABCDE*,40,none,1,12,Standard,Both
2,2,HiCannon,,HIJKL*,60,none,2,24,Standard,Both
3,3,M-Cannon,,OPQRS,80,none,3,36,Standard,Both
4,4,AirShot1,,*,20,none,1,4,Standard,Both
5,5,AirShot2,,*,30,none,2,12,Standard,Both
6,6,AirShot3,,*,40,none,2,18,Standard,Both
7,7,LavaCan1,,AGSTV,90,fire,1,34,Standard,Both
8,8,LavaCan2,,BDFMO,120,fire,2,42,Standard,Both
9,9,LavaCan3,,EHJRW,150,fire,3,60,Standard,Both
10,114,Volcano,,AGJYZ,150,fire,4,75,Standard,Both
11,10,ShotGun,ショットガン,BFJNT*,30,none,1,8,Standard,Both
12,11,V-Gun,ブイガン,DGLPV*,30,none,1,8,Standard,Both
13,12,SideGun,,CHMSY*,30,none,1,8,Standard,Both
14,13,Spreader,,MNOPQ*,30,none,2,16,Standard,Both
15,14,Bubbler,,ACDEP*,60,aqua,1,14,Standard,Both
16,15,Bub-V,,DEFSV*,60,aqua,2,22,Standard,Both
17,16,BublSide,,BEFGR*,60,aqua,3,30,Standard,Both
18,17,HeatShot,,BHIJP*,40,fire,1,16,Standard,Both
19,18,Heat-V,,FIJKV*,40,fire,2,24,Standard,Both
20,19,HeatSide,,CJKLT*,40,fire,3,32,Standard,Both
21,20,MiniBomb,ミニボム,BGLOS*,50,none,1,6,Standard,Both
22,21,SnglBomb,,DFHJT*,50,none,1,12,Standard,Both
23,22,DublBomb,,ACHKQ*,50,none,2,24,Standard,Both
24,23,TrplBomb,,EINPW,50,none,3,36,Standard,Both
25,24,CannBall,,ADFLP*,160,none,3,33,Standard,Both
26,25,IceBall,,FIMQS*,120,aqua,3,18,Standard,Both
27,26,LavaBall,,BCHNW*,140,fire,3,20,Standard,Both
28,27,BlkBomb1,,FLNPZ,120,fire,2,60,Standard,Both
29,28,BlkBomb2,,DIKQS,170,fire,3,70,Standard,Both
30,29,BlkBomb3,,CGLUY,220,fire,4,80,Standard,Both
31,30,Sword,ソード,EHLSY,80,none,1,10,Standard,Both
32,31,WideSwrd,ワイドソード,CELQY,80,none,2,16,Standard,Both
33,32,LongSwrd,,EILRY,80,none,3,24,Standard,Both
34,33,FireSwrd,,FNPRU,130,fire,3,20,Standard,Both
35,34,AquaSwrd,,AHNPT,150,aqua,3,25,Standard,Both
36,35,ElecSwrd,,EKNPV,130,elec,3,23,Standard,Both
37,36,BambSwrd,,BLNPW,140,wood,3,18,Standard,Both
38,37,CustSwrd,,BFRVZ,????,none,3,21,Standard,Both
39,38,VarSwrd,,BCDEF,160,none,4,68,Standard,Both
40,42,AirSwrd,,CEHJR*,100,none,3,30,Standard,Both
41,39,StepSwrd,,LMNOP,130,none,4,43,Standard,Both
42,40,StepCros,,PQRST,130,none,4,74,Standard,Both
43,43,Slasher,,BDGRS,240,none,3,12,Standard,Both
44,44,ShockWav,,DHJLR,60,none,1,10,Standard,Both
45,45,SonicWav,,GIMSW,80,none,2,26,Standard,Both
46,46,DynaWave,,ENQTV,100,none,3,42,Standard,Both
47,113,BigWave,,EJMPY,190,none,4,82,Standard,Both
48,47,GutPunch,,BCDEF,80,none,1,14,Standard,Both
49,48,GutStrgt,,OPQRS,100,none,2,30,Standard,Both
50,49,GutImpct,,GHIJK,160,none,3,50,Standard,Both
51,53,DashAtk,,CDGJZ*,90,none,1,11,Standard,Both
52,54,Burner,,BFQSW,130,fire,3,15,Standard,Both
53,115,Condor,,BILSZ,180,none,4,44,Standard,Both
54,116,Burning,,AFLRS,150,fire,4,42,Standard,Both
55,66,ZapRing1,ラビリング1,AMPQS*,20,elec,1,8,Standard,Both
56,67,ZapRing2,,BGNRW,40,elec,2,18,Standard,Both
57,68,ZapRing3,,CEOTZ,60,elec,3,28,Standard,Both
58,90,IceWave1,,AKMQW*,80,aqua,1,14,Standard,Both
59,91,IceWave2,,DHLPR*,100,aqua,2,22,Standard,Both
60,92,IceWave3,,CDJRV,140,aqua,3,30,Standard,Both
61,69,Yo-Yo1,,CDEFG*,40,none,1,72,Standard,Both
62,70,Yo-Yo2,,HIJKL,50,none,2,80,Standard,Both
63,71,Yo-Yo3,,MNOPQ,60,none,3,88,Standard,Both
64,50,AirStrm1,,AFHOS,50,none,1,26,Standard,Both
65,51,AirStrm2,,CGHMW,60,none,2,35,Standard,Both
66,52,AirStrm3,,AGINV,70,none,3,44,Standard,Both
67,96,Arrow1,,BEMQT,100,elec,1,40,Standard,Both
68,97,Arrow2,,FRSUZ,130,elec,2,60,Standard,Both
69,98,Arrow3,,AHJNP,160,elec,3,80,Standard,Both
70,58,Ratton1,,ACFHJ,80,none,1,14,Standard,Both
71,59,Ratton2,,ACFNO,100,none,2,24,Standard,Both
72,60,Ratton3,,ACFRS,120,none,3,34,Standard,Both
73,117,FireRatn,,BFHMY,230,none,3,35,Standard,Both
74,61,Wave,,EILST,80,aqua,3,60,Standard,Both
75,62,RedWave,,BFJRU,90,fire,3,72,Standard,Both
76,63,MudWave,,DGMVZ,100,wood,3,84,Standard,Both
77,65,Tornado,,CLRTU,20,none,2,18,Standard,Both
78,72,Spice1,,BDISZ*,80,wood,1,22,Standard,Both
79,73,Spice2,,CFIKR,110,wood,2,34,Standard,Both
80,74,Spice3,,DFJOQ,140,wood,3,46,Standard,Both
81,110,Shake1,,EGRSU,90,none,1,34,Standard,Both
82,111,Shake2,,BFILQ,110,none,2,40,Standard,Both
83,112,Shake3,,DMRTZ,140,none,3,50,Standard,Both
84,148,NoBeam1,,CFGKW,200,none,2,66,Standard,Both
85,149,NoBeam2,,EISUY,260,none,3,77,Standard,Both
86,150,NoBeam3,,HMVWZ,300,none,4,88,Standard,Both
87,64,Hammer,,BGLPT*,100,none,2,16,Standard,Both
88,107,Geyser,,BCLSW,200,aqua,4,22,Standard,Both
89,78,Rope1,,DGJMO*,50,wood,1,45,Standard,Both
90,79,Rope2,,EGOTU,70,wood,2,55,Standard,Both
91,80,Rope3,,HITUV,90,wood,3,65,Standard,Both
92,84,Boomer1,,FHJMT*,60,wood,1,15,Standard,Both
93,85,Boomer2,,EIKNV*,80,wood,2,22,Standard,Both
94,86,Boomer3,,LOPUZ,100,wood,3,30,Standard,Both
95,108,PoisMask,,AFNQV*,0,none,1,30,Standard,Both
96,109,PoisFace,,ANQVW*,0,none,2,38,Standard,Both
97,145,RockArm1,,DHJOP*,100,none,1,23,Standard,Both
98,146,RockArm2,,GMPSV*,150,none,2,35,Standard,Both
99,147,RockArm3,,CILTZ,200,none,3,47,Standard,Both
100,104,CrsShld1,,ACHLP*,160,none,1,25,Standard,Both
101,105,CrsShld2,,BCLST,210,none,2,33,Standard,Both
102,106,CrsShld3,,CELNR,260,none,3,41,Standard,Both
103,81,Magnum1,,ACHTV,120,fire,1,35,Standard,Both
104,82,Magnum2,,BGNOZ,150,fire,2,55,Standard,Both
105,83,Magnum3,,DFISW,180,fire,3,75,Standard,Both
106,93,Plasma1,,BDJRT,30,elec,1,14,Standard,Both
107,94,Plasma2,,AGKMQ,60,elec,2,26,Standard,Both
108,95,Plasma3,,FINPS,90,elec,3,34,Standard,Both
109,87,RndmMetr,,EISVZ,100,fire,3,28,Standard,Both
110,88,HoleMetr,,CHJNQ,100,fire,3,48,Standard,Both
111,89,ShotMetr,,ADFSY,100,fire,3,38,Standard,Both
112,154,Needler1,,IJMRS,30,none,1,32,Standard,Both
113,155,Needler2,,FHMTV,40,none,2,52,Standard,Both
114,156,Needler3,,DLOUZ,50,none,3,72,Standard,Both
115,55,Totem1,,GHMOV,100,fire,1,29,Standard,Both
116,56,Totem2,,ACETZ,140,fire,2,38,Standard,Both
