Library ID,Game ID,Name (English),Name (Japanese),Codes,Damage,Element,Rarity,MB,Category
1,1,Cannon,キャノン,ABCDE*,40,none,1,16,Standard
2,2,HiCannon,,CDEFG*,60,none,2,24,Standard
3,3,M-Cannon,,EFGHI*,80,none,3,32,Standard
4,4,Shotgun,ショットガン,BFHJN*,30,none,1,4,Standard
5,5,V-Gun,ブイガン,AFGLP*,30,none,1,4,Standard
6,6,CrossGun,クロスガン,HJMQS*,30,none,1,8,Standard
7,7,Spreader,,MNOPQ*,30,aqua,2,20,Standard
8,8,Bubbler,,BGHPR*,40,aqua,1,12,Standard
9,9,Bub-V,,CDJNS*,40,aqua,1,16,Standard
10,10,BubCross,,KOPTV*,40,aqua,2,20,Standard
11,11,BubSprd,,EFILM*,40,aqua,3,32,Standard
12,12,HeatShot,,BGHPR*,50,fire,1,14,Standard
13,13,Heat-V,,CDJNS*,50,fire,1,18,Standard
14,14,HeatCros,,KOPTV*,50,fire,2,22,Standard
15,15,HeatSprd,,EFILM*,50,fire,3,36,Standard
16,16,MiniBomb,ミニボム,BEGLO*,50,none,1,8,Standard
17,17,LilBomb,,FJOQT*,50,none,1,12,Standard
18,18,CrosBomb,,DJOQT*,60,none,2,16,Standard
19,19,BigBomb,,OQTVY*,70,none,3,32,Standard
20,20,TreeBom1,,BGHPR*,100,wood,1,10,Standard
21,21,TreeBom2,,CDJNS*,120,wood,2,15,Standard
22,22,TreeBom3,,KOPTV*,150,wood,3,20,Standard
23,23,Sword,ソード,AKLSY*,80,none,1,12,Standard
24,24,WideSwrd,ワイドソード,ACLQY*,80,none,1,16,Standard
25,25,LongSwrd,,AILOY*,80,none,2,22,Standard
26,26,FireSwrd,,FHNRU*,100,fire,2,24,Standard
27,27,AquaSwrd,,AHNRW*,100,aqua,2,26,Standard
28,28,ElecSwrd,,EHNRV*,100,elec,3,28,Standard
29,29,FireBlde,,FHPRZ*,90,fire,3,32,Standard
30,30,AquaBlde,,AFJRZ*,90,aqua,3,32,Standard
31,31,ElecBlde,,EFMNR*,90,elec,3,32,Standard
32,32,StepSwrd,,DHMQU*,150,none,3,54,Standard
33,35,Kunai1,,EILPS*,40,none,1,48,Standard
34,36,Kunai2,,DFJQR*,40,none,2,64,Standard
35,37,Kunai3,,CGHKN*,40,none,3,78,Standard
36,34,CustSwrd,,BGKQT*,????,none,4,68,Standard
37,33,Muramasa,,NOTUW*,????,none,5,88,Standard
38,121,VarSwrd,,BLNTZ*,160,none,4,40,Standard
39,38,Slasher,,ADHLQ*,180,none,4,24,Standard
40,39,Shockwav,,HJLRU*,40,none,1,10,Standard
41,40,Sonicwav,,EIMSW*,60,none,2,30,Standard
42,41,Dynawave,,GNQTV*,90,none,3,50,Standard
43,42,Quake1,アースクエイク1,AMPQW*,90,none,1,16,Standard
44,43,Quake2,,BGNQW*,110,none,2,32,Standard
45,44,Quake3,,CEOQW*,130,none,3,64,Standard
46,45,GutPunch,,BDHKN*,70,none,1,8,Standard
47,46,ColdPnch,,BDLPS*,70,aqua,2,8,Standard
48,50,DashAtk,,BDGJL*,90,none,1,12,Standard
49,51,Wrecker,,OQSUW*,80,none,3,16,Standard
50,52,CannBall,,OPQRS*,150,none,4,22,Standard
51,53,DoubNdl,,ACFIJ*,50,none,1,18,Standard
52,54,TripNdl,,CIMTV*,50,none,2,24,Standard
53,55,QuadNdl,,CHIPU*,50,none,3,30,Standard
54,56,Trident,,EIKOT*,60,none,4,30,Standard
55,57,Ratton1,,HIJKL*,70,none,1,26,Standard
56,58,Ratton2,,JKLMN*,80,none,2,32,Standard
57,59,Ratton3,,LMNOP*,90,none,3,38,Standard
58,60,FireRat,,BFGHR*,200,none,4,30,Standard
59,61,Tornado,,EJLMQ*,20,none,4,22,Standard
60,62,Twister,,NOTUY*,20,wood,3,22,Standard
61,63,Blower,,PRTWZ*,20,fire,3,22,Standard
62,64,Burner,,ABFLS*,150,fire,3,28,Standard
63,65,ZapRing1,ラビリング1,AMPQW*,20,elec,1,12,Standard
64,66,ZapRing2,,BGNRS*,30,elec,2,16,Standard
65,67,ZapRing3,,CEOTZ*,40,elec,3,20,Standard
66,71,Satelit1,,GOQUW*,60,elec,1,20,Standard
67,72,Satelit2,,HJKPR*,80,elec,2,24,Standard
68,73,Satelit3,,LSTYZ*,100,elec,3,28,Standard
69,68,Spice1,,ACGQT*,100,wood,1,14,Standard
70,69,Spice2,,BEHJN*,120,wood,2,28,Standard
71,70,Spice3,,DKMPQ*,140,wood,3,42,Standard
72,77,MagBomb1,,FGJMN*,80,elec,1,10,Standard
73,78,MagBomb2,,BDIRT*,100,elec,2,14,Standard
74,79,MagBomb3,,HKOQS*,120,elec,3,18,Standard
75,74,Yo-Yo1,,CERTV*,40,none,1,36,Standard
76,75,Yo-Yo2,,AGJKN*,50,none,2,40,Standard
77,76,Yo-Yo3,,DIMSY*,60,none,3,44,Standard
78,85,CrsShld1,,AOPSZ*,130,none,1,18,Standard
79,86,CrsShld2,,AOPTV*,170,none,2,24,Standard
80,87,CrsShld3,,AOPUW*,210,none,3,32,Standard
81,84,Hammer,,RTUVZ*,100,none,4,24,Standard
82,117,ZeusHamr,,JKOVZ*,200,none,4,70,Standard
83,116,Lance,,OPTVY*,90,wood,3,20,Standard
84,118,BrnzFist,,BNORS*,100,none,2,18,Standard
85,119,SilvFist,,EILSV*,140,none,3,30,Standard
86,120,GoldFist,,DGLOZ*,180,none,4,60,Standard
87,107,PoisMask,,DSUWZ*,0,none,2,24,Standard
88,108,PoisFace,,PQUWY*,0,none,3,30,Standard
89,109,Whirlpl,,ACEGI*,0,none,1,20,Standard
90,110,Blckhole,,BDFHJ*,0,none,2,30,Standard
91,80,Meteor9,,CELSV*,60,fire,1,12,Standard
92,81,Meteor12,,ACFJW*,80,fire,2,24,Standard
93,82,Meteor15,,DGHRZ*,100,fire,3,48,Standard
94,83,Meteor18,,BGIKO*,150,fire,4,60,Standard
95,88,TimeBom1,,CGKMZ*,170,none,1,32,Standard
