Library ID,Game ID,Name (English),Name (Japanese),Codes,Damage,Element,Rarity,MB,Category,Version
1,,Cannon,キャノン,*ABC,40,none,1,6,Standard,Both
2,,HiCannon,,*LMN,100,none,2,24,Standard,Both
3,,M-Cannon,,*RST,180,none,3,38,Standard,Both
4,,AirShot,,*,20,wind,2,4,Standard,Both
5,,Vulcan1,,*BDS,10,none,1,5,Standard,Both
6,,Vulcan2,,DFL,15,none,2,18,Standard,Both
7,,Vulcan3,,AGR,20,none,3,30,Standard,Both
8,,SuprVulc,,V,20,none,4,75,Standard,Both
9,,Spreadr1,,*LMN,30,none,1,10,Standard,Both
10,,Spreadr2,,*ABC,60,none,2,18,Standard,Both
11,,Spreadr3,,*QRS,90,none,3,26,Standard,Both
12,,TankCan1,,AGR,120,none,1,17,Standard,Both
13,,TankCan2,,LSV,160,none,2,28,Standard,Both
14,,TankCan3,,BMP,200,none,3,39,Standard,Both
15,,GunDelS1,,*CMT,0,none,2,15,Standard,Both
16,,GunDelS2,,BER,0,none,3,30,Standard,Both
17,,GunDelS3,,NQW,0,none,4,38,Standard,Both
18,,YoYo,,*LMN,50,none,3,32,Standard,Both
19,,FireBrn1,,*FGH,70,fire,1,8,Standard,Both
20,,FireBrn2,,STU,110,fire,2,21,Standard,Both
21,,FireBrn3,,CDE,150,fire,3,34,Standard,Both
22,,WideSht,,PQR,100,aqua,3,34,Standard,Both
23,,TrnArrw1,,AFK,30,aqua,1,30,Standard,Both
24,,TrnArrw2,,GMZ,40,aqua,2,36,Standard,Both
25,,TrnArrw3,,MSY,50,aqua,3,42,Standard,Both
26,,BblStar1,,BET,60,aqua,1,30,Standard,Both
27,,BblStar2,,CLV,80,aqua,2,38,Standard,Both
28,,BblStar3,,GRS,100,aqua,3,46,Standard,Both
29,,Thunder,,*BRS,40,elec,2,7,Standard,Both
30,,DolThdr1,,AEQ,120,elec,1,24,Standard,Both
31,,DolThdr2,,CLP,150,elec,2,31,Standard,Both
32,,DolThdr3,,BRV,180,elec,3,38,Standard,Both
33,,ElecPuls1,,JLS,100,elec,1,32,Standard,Both
34,,ElecPuls2,,AEJ,120,elec,2,36,Standard,Both
35,,ElecPuls3,,AJS,140,elec,3,40,Standard,Both
36,,CornSht1,,JKL,50,wood,1,14,Standard,Both
37,,CornSht2,,CDE,60,wood,2,26,Standard,Both
38,,CornSht3,,PQR,70,wood,3,38,Standard,Both
39,,RskyHny1,,BGS,10,wood,1,21,Standard,Both
40,,RskyHny2,,CRV,15,wood,2,28,Standard,Both
41,,RskyHny3,,ADM,20,wood,3,35,Standard,Both
42,,RlngLog1,,IKP,50,wood,1,14,Standard,Both
43,,RlngLog2,,EQZ,70,wood,2,26,Standard,Both
44,,RlngLog3,,FNW,90,wood,3,38,Standard,Both
45,,IronShl1,,JKL,70,break,1,13,Standard,Both
46,,IronShl2,,CDE,100,break,2,20,Standard,Both
47,,IronShl3,,LMN,130,break,3,27,Standard,Both
48,,AuraHed1,,BCD,130,break,1,25,Standard,Both
49,,AuraHed2,,DEF,150,break,2,33,Standard,Both
50,,AuraHed3,,FGH,170,break,3,39,Standard,Both
51,,AirHocky,,LMN,60,break,3,19,Standard,Both
52,,DrilArm,,GMW,70,break,3,32,Standard,Both
53,,Tornado,,LRT,20,wind,3,16,Standard,Both
54,,Static,,GSV,20,wind,3,30,Standard,Both
55,,MachGun1,,*ART,30,search,1,12,Standard,Both
56,,MachGun2,,EGS,50,search,2,24,Standard,Both
57,,MachGun3,,BFM,70,search,3,36,Standard,Both
58,,MiniBomb,ミニボム,*BLR,50,none,1,6,Standard,Both
59,,BigBomb,,OPV,140,none,4,32,Standard,Both
60,,EnergBom,,*CKV,40,none,2,11,Standard,Both
61,,MegEnBom,,*GMO,60,none,3,27,Standard,Both
62,,FlshBom1,,*JLQ,40,none,1,30,Standard,Both
63,,FlshBom2,,GKR,70,none,2,34,Standard,Both
64,,FlshBom3,,HPS,100,none,3,38,Standard,Both
65,,BlkBomb,,BFO,250,fire,4,32,Standard,Both
66,,BugBomb,,GSV,0,none,3,24,Standard,Both
67,,GrasSeed,,*AFS,0,wood,2,19,Standard,Both
68,,IceSeed,,*ALR,0,aqua,2,31,Standard,Both
69,,PoisSeed,,*HNP,0,none,3,37,Standard,Both
70,,Sword,ソード,*HLS,80,sword,1,8,Standard,Both
71,,WideSwrd,ワイドソード,*HLS,80,sword,2,12,Standard,Both
72,,LongSwrd,,*HLS,100,sword,3,25,Standard,Both
73,,WideBlde,,BRW,150,sword,4,38,Standard,Both
74,,LongBlde,,BMV,150,sword,4,38,Standard,Both
75,,FireSwrd,,FOZ,140,fire,2,30,Standard,Both
76,,AquaSwrd,,AIY,160,aqua,3,32,Standard,Both
77,,ElecSwrd,,EKN,120,elec,3,35,Standard,Both
78,,BambSwrd,,HSW,150,wood,3,34,Standard,Both
79,,WindRack,,*FJR,140,wind,3,19,Standard,Both
80,,StepSwrd,,BLP,160,sword,3,28,Standard,Both
81,,VarSwrd,,KVW,160,sword,3,28,Standard,Both
82,,NeoVari,,N,210,sword,4,52,Standard,Both
83,,MoonBld,,AMT,130,sword,3,35,Standard,Both
84,,Muramasa,,M,???,sword,4,77,Standard,Both
85,,MchnSwrd,,HLQ,200,none,1,37,Standard,Both
86,,ElemSwrd,,JMU,220,none,2,43,Standard,Both
87,,AssnSwrd,,NRY,240,none,3,50,Standard,Both
88,,CrakShot,,*AGT,60,none,1,4,Standard,Both
89,,DublShot,,*CRU,60,none,2,8,Standard,Both
90,,TrplShot,,*JLV,100,none,3,12,Standard,Both
91,,Rflectr1,,*ACP,60,none,1,7,Standard,Both
92,,Rflectr2,,*BGY,120,none,2,16,Standard,Both
93,,Rflectr3,,*EFO,200,none,3,25,Standard,Both
94,,WaveArm1,,EFG,80,none,1,15,Standard,Both
95,,WaveArm2,,LMN,120,none,2,22,Standard,Both
96,,WaveArm3,,RST,160,none,3,29,Standard,Both
97,,SandWrm1,,AGL,130,none,1,30,Standard,Both
98,,SandWrm2,,BRY,150,none,2,34,Standard,Both
99,,SandWrm3,,HLS,170,none,3,38,Standard,Both
100,,SumnBlk1,,EIP,160,none,1,30,Standard,Both
101,,SumnBlk2,,HOV,200,none,2,40,Standard,Both
102,,SumnBlk3,,WYZ,260,none,3,46,Standard,Both
103,,Snake,,HLM,30,none,4,34,Standard,Both
104,,NumbrBl,,N,???,none,5,69,Standard,Both
105,,FireHit1,,DEF,60,fire,1,12,Standard,Both
106,,FireHit2,,RST,120,fire,2,22,Standard,Both
